Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-4586,Choppo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Suites, Training Room",3/17/2023,Owner/Guardian Surrender,-,-,12,12,0
GPG-A-4592,Dirt Bike,Dog,"Terrier, Pit Bull",Puppy Unweaned (0-6 weeks),N/A,3/18/2023,Stray,-,-,11,1,0
GPG-A-4605,Adrian,Dog,"Shepherd, German",Adult Dog (6 months+),N/A,3/20/2023,Stray,-,-,9,4,2
GPG-A-4606,Rocky,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 4",3/20/2023,Stray,-,-,9,9,2
GPG-A-4607,Thomas-C,Cat,Domestic Shorthair,Adult Cat (6 months+),"Community Cat Holding & Cat Intake Room, Intake Kennel 8",3/20/2023,Owner/Guardian Surrender,-,-,9,9,0
GPG-A-4609,Finn,Dog,"Pyrenees, Great",Puppy (6 weeks-5 months),N/A,3/21/2023,Transfer In,-,-,8,1,5
GPG-A-4611,Fagen,Dog,"Pyrenees, Great",Puppy (6 weeks-5 months),N/A,3/21/2023,Transfer In,-,-,8,1,5
GPG-A-4613,Cadbury,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"GPG Shelter ESTL, Meet & Greet/Adoption Room",3/21/2023,Stray,-,-,8,8,0
GPG-A-4619,Peep-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,1
GPG-A-4620,Jelly Bean-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,0
GPG-A-4621,Easter-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,1
GPG-A-4622,Lollie-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,1
GPG-A-4623,Cricket-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,0
GPG-A-4624,Rabbit-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,0
GPG-A-4625,Peter-C,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),N/A,3/21/2023,Owner/Guardian Surrender,-,-,8,1,0
GPG-A-4626,Tinkerbell-C,Cat,Domestic Shorthair,Adult Cat (6 months+),"Adoption Room (Cat), Free Roaming",3/21/2023,Owner/Guardian Surrender,-,-,8,8,1
GPG-A-4627,Fiona-C,Cat,Domestic Shorthair,Adult Cat (6 months+),"Adoption Room (Cat), Free Roaming",3/21/2023,Owner/Guardian Surrender,-,-,8,8,1
GPG-A-4635,Tonka,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 3",3/22/2023,Stray,-,-,7,7,0
GPG-A-4631,Big Bertha,Dog,Akita,Adult Dog (6 months+),N/A,3/22/2023,Stray,-,-,7,5,3
GPG-A-4632,Blackie-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,3/22/2023,Owner/Guardian Surrender,-,-,7,1,0
GPG-A-4637,Charlie Daniels,Dog,Saint Bernard,Adult Dog (6 months+),N/A,3/23/2023,Stray,-,-,6,2,0
GPG-A-4646,Annalee,Cat,Domestic Shorthair,Kitten Unweaned (0-6 weeks),Transfer Out,3/24/2023,Stray,3/24/2023,Transfer Out,1,1,0
GPG-A-4638,Zenon,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/24/2023,Owner/Guardian Surrender,-,-,5,1,5
GPG-A-4639,Astrid,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/24/2023,Owner/Guardian Surrender,-,-,5,3,5
GPG-A-3524-2,Tico,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/27/2023,Owner/Guardian Surrender,-,-,2,0,2
GPG-A-4653,Blix,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 2",3/27/2023,Owner/Guardian Surrender,-,-,2,2,2
GPG-A-4654,Llama,Dog,"Terrier, American Pit Bull",Puppy (6 weeks-5 months),N/A,3/27/2023,Owner/Guardian Surrender,-,-,2,2,2
GPG-A-4655,Cruz-C,Cat,Domestic Shorthair,Adult Cat (6 months+),"Community Cat Holding & Cat Intake Room, Intake Kennel 7",3/28/2023,Transfer In,-,-,1,1,0
GPG-A-4656,Ohana aka Rudolph,Dog,Shiba Inu,Adult Dog (6 months+),"Intake Holding Room 1, Kennel 5",3/28/2023,Transfer In,-,-,1,0,0
GPG-A-4657,Tate-C,Cat,Domestic Shorthair,Adult Cat (6 months+),"Community Cat Holding & Cat Intake Room, Intake Kennel 5",3/28/2023,Stray,-,-,1,1,0
GPG-A-4658,Kate-C,Cat,Domestic Shorthair,Adult Cat (6 months+),"Community Cat Holding & Cat Intake Room, Intake Kennel 5",3/28/2023,Stray,-,-,1,1,0
